i18n=>,TW,EN,KR,JP,CN
commission_detail,佣金明細,Commission Details,세부내역,コミッション明細,佣金明细
withdrawal_apply,出金申請,Withdraw,출금신청,出金申請,出金申请
your_commission_change_record,您的佣金異動紀錄,Total Records,커미션 내역,お客様の手数料異動記録,您的佣金异动纪录
personal_rebate_information,個人返佣資訊,Personal Rebate Information,나의 리베이트 내역,個人リベート情報,个人返佣资讯
referrer_rebate_information,推薦人返佣資訊,Referral Rebate Information,레퍼럴 리베이트 내역,紹介者リベート情報,推荐人返佣资讯
withdrawal_apply_record,出金申請紀錄,Withdrawal Application Record,출금신청내역,出金申請記録,出金申请纪录
bound_exchange,綁定交易所,Exchange,우리와 함께하는 파트너,取引所をバインディングする,绑定交易所
member_login,會員登入,Login,로그인,会員登録,会员登入
email,電子郵箱,Email,이메일,メールアドレス,电子邮箱
password,密碼,Password,패스워드,パスワード,密码
captcha,圖形驗證碼,Verification Code,순환인증코드,画像認証,图形验证码
please_enter_captcha,請輸入圖形驗證碼,Please Enter Verification Code,순환인증코드를 입,画像に表示されている文字を入力してください,请输入图形验证码
forget_password,忘記密碼,Forgot Password,비밀번호 찾기,パスワードをお忘れ,忘记密码
reset_password,請重設密碼,Please reset your password,비밀번호 재설정,パスワード再設定してください,请重设密码
havent_created_account,還沒創建過帳戶,Haven't created an account yet?,회원가입 해본적이 없을 경우,アカウントがまだ作成されていない,还没创建过帐户
login_fail,登入失敗,Login Failed,로그인 실패,ログインに失敗しました,登入失败
unconfirmed_account,帳號未確認,Incorrect Username,계정 확인불가,アカウントは未確認,帐号未确认
certification_letter_resent,認證信已重新發送,The certification letter has been resent,인증 메일을 재전송합니다.,確認メールを再発送しました,认证信已重新发送
re_send_certification_letter,重新寄發認證信,Re-send the certification letter,인증 메일 재확인,確認メールを再送します,重新寄发认证信
cancel,取消,Cancel,취소,キャンセル,取消
login_success,登入成功,Success,로그인 성공,ログインしました,登入成功
enter_correct_email,請輸入正確電子郵件,Please enter the correct email,올바른 이메일 계정을 입력하세요,正しいメールアドレスを入力してください,请输入正确电子邮件
please_enter_captcha,請輸入圖形驗證碼,Please Enter Verification Code,순환인증코드를 입력하세요,画像に表示されている文字を入力してください,请输入图形验证码
build_password,建立新的密碼,Create a new password,새로운 비밀번호 만들기,新しいパスワードを作成します,建立新的密码
enter_new_password_1,輸入新的密碼,Enter the new password,새로운 비밀번호를,新しいパスワードをご入力したら,输入新的密码
enter_new_password_2,完成後須以新密碼登入,and log in with the new password after completion,입력하고 다시 로그인하세요,新しいパスワードをログインしてください,完成后须以新密码登入
check_again,再次確認,Confirm,비밀번호 설정을 위해 다시 한번 입력하세요,もう一度ご確認してください,再次确认
save_password,儲存密碼,Save,비밀번호 저장,パスワードを保存,储存密码
useless_pages,無效頁面，倒轉回到首頁,"Invalid page, return to homepage",잘못된 페이지입니다. 처음 화면으로 돌아갑니다.,エラーが発生しました、ホームページに戻す,无效页面，倒转回到首页
setting_success,設定成功,Set successfully,입력이 완료되었습니다.,設定が完了しました,设定成功
check_password_unanimous,確認密碼：密碼要與新密碼一致,Confirm password: the password must be consistent with the new password,비밀번호 확인 : 기존과 다른 새로운 비밀번호를 입력하세요,確認のため、パスワードと新しいパスワードを一致してください,确认密码：密码要与新密码一致
to_protect_account_security_1,請使用Fundobit專屬連結註冊交易所，否則將會綁定失敗。為保護帳號安全，交易所綁定後將無法編輯或刪除,"Please use the Fundobit exclusive link to register the exchange, otherwise the binding will fail.To protect the security of your account, you cannot edit or delete it after the exchange is bound",Fundobit 전용 링크를 사용하여 교환을 등록하십시오. 그렇지 않으면 바인딩이 실패합니다.계정 보안설정을 위해 연동된 거래소를 지우거나 수정할수 없습니다.,Fundobit専用リンクを使用して交換を登録してください。そうしないと、バインドが失敗します。アカウントの安全のために取引所をバインディングされたら編集と削除ができません,请使用Fundobit专属连结注册交易所，否则将会绑定失败。为保护帐号安全，交易所绑定后将无法编辑或删除
to_protect_account_security_2,（*未綁定將無法查看您的返佣資訊）,(*You will not be able to view your rebate information if it is not bound),(연동하지 않을 경우 리베이트 내역 확인이 불가능),（*バインディングされていない状態リベートを調べられません）,（*未绑定将无法查看您的返佣资讯）
select_exchange,選擇交易所,Select Exchange,지정된 거래소,取引所を選ぶ,选择交易所
exchange_uid,交易所UID,Exchange of UID,거래소UID,取引所UID,交易所UID
enter_exchange_uid,請輸入該交易所UID,Please enter the UID of the exchange,거래소 UID 입력하기,取引所UIDを入力してください,请输入该交易所UID
mobile_phone,行動電話,Phone Number,연락처,携帯番号,行动电话
please_enter_phone,請輸入行動電話,Please enter the Phone Number,연락처를 입력하세요,携帯番号を入力してください,请输入行动电话
please_enter_email,請輸入該交易所會員郵件,Please enter the exchange member’s email,해당 거래소 이메일을 입력하세요,取引所の会員メールアドレスを入力してください,请输入该交易所会员邮件
clear,清空,Empty,지우기,クリア,清空
bind,綁定,Next,연동하기,バインディング,绑定
exchange_verification_time,交易所驗證時間需1-3日工作天，無論驗證成功與否都將由系統寄出“驗證通知書”郵件通知會員,"The verification time of the exchange takes 1-3 working days. Regardless of whether the verification is successful or not, the system will send a ""Verification Notice"" email to notify members",거래소 연동 인증을 위한 확인절차는 근무일 기준으로 3일정도 소요됩니다. 처리가 완료된 후 이메일로 확인내역을 전송합니다.,取引所の検証時間は１日から三日程度をかかりますので検証完了するかどうかに関わらず“検証のお知らせ”をシステムからメールにお送りします,交易所验证时间需1-3日工作天，无论验证成功与否都将由系统寄出“验证通知书”邮件通知会员
invalid_drawing,無效圖檔,Invalid,잘못된 이미지,図データが無効,无效图档
verifying,驗證中,Processing,확인 진행중,検証中,验证中
verified,驗證完畢,Complete,확인 완료,検証完了,验证完毕
check_again_exchange_info,再次確認交易所綁定資訊,Reconfirm the information connecting to the CryptoCurrency Exchange,거래소 연동정보,取引所をバインディングされた情報をもう一度確認してください,再次确认交易所绑定资讯
to_ensure_transaction_security,為保障各位交易安全，交易所若綁定三次都失敗，將會鎖定該交易所綁定之權限，因此請確定資料正確性,"Due to ensure the transaction safety, if the exchange binding fails three times, the binding authority of the exchange will be locked. Please, make sure the information is correct.",거래 안정화를 위해 3가지 인증절차를 확인부탁드립니다.,取引の安全を確保するため、3回バインディングに失敗した場合、取引所にバインディングされた権限がロックされますので正しい情報を確認してください,为保障各位交易安全，交易所若绑定三次都失败，将会锁定该交易所绑定之权限，因此请确定资料正确性
unfilled,未填寫,Null,유효하지 않은 계정,未記入,未填写
return,返回,Back,되돌아가기,戻る,返回
please_select_exchange,請選擇交易所,Select Exchange,거래소 선택하기,取引所を選ぶ,请选择交易所
please_enter_exchange_id,請輸入交易所UID,Enter Exchange UID,거래소 UID 입력,取引所のUIDを入力してください,请输入交易所UID
m_phone_enter_number,行動電話：請輸入數字,Phone: Please Enter Number,연락처 : 휴대번호를 입력하세요,携帯電話：数字を入力してください,行动电话：请输入数字
email_enter_correct,電子郵件：請輸入正確電子郵件,Email: Please enter the correct email,이메일 : 도메인을 포함한 전체 주소를 입력하세요,メールアドレス：正しいメールアドレスを入力してください,电子邮件：请输入正确电子邮件
personal_information,基本個人資料,Profile,기본 인적사항,基本個人情報,基本个人资料
only_fields_can_be_modified,為保障各位資訊安全，僅限欄位可以修改,"To protect your information security, only fields can be modified",개인정보 보호를 위해 카테고리 별 수정만 가능합니다,情報安全を保証のため修正できる欄は限られています,为保障各位资讯安全，仅限栏位可以修改
change_personal_image,更改個人圖像,Edit,이미지 변경,写真を変更する,更改个人图像
user_name,使用者名稱,Username,사용자 이름,コーザーネーム,使用者名称
user_email,使用者信箱,User Email,사용자 이메일,コーザーメールアドレス,使用者信箱
old_password,原密碼,Your Password,기존 비밀번호,元のパスワード,原密码
new_password,新密碼,New Password,새로운 비밀번호,新しいパスワード,新密码
edit_content,編輯內容,Edit,수정하기,内容を編集,编辑内容
save,儲存,Save,저장,保存,储存
image_upload_fail,圖片上傳失敗,Upload Failed,이미지 업로드 실패,画像アップロードエラー,图片上传失败
personal_update_success,個人資料更新成功,Update Successful,프로필 업데이트 완료,個人情報の更新を完了しました,个人资料更新成功
old_password_verify,密碼：請輸入6位數以上英數字,Password: Please enter more than 6 alphanumeric characters,비밀번호 : 6자리 이상의 영문 및 숫자를 입력하세요,パスワード : ６文字以上半角英数字を入力してください,密码：请输入6位数以上英数字
new_password_verify,新密碼：請輸入6位數以上英數字,New Password: Please enter more than 6 alphanumeric characters,새 비밀번호 : 6자리 이상의 영문 및 숫자를 입력하세요,新しいパスワード : ６文字以上半角英数字を入力してください,新密码：请输入6位数以上英数字
check_new_password,確認密碼：密碼要與新密碼一致,Reconfirm password: the password must be consistent with the new password,비밀번호 확인 : 변경된 비밀번호로 로그인하세요,確認のため、パスワードと新しいパスワードを同じく入力したください,确认密码：密码要与新密码一致
edit_group,編輯組別,Edit Group,그룹 수정,グループを編集する,编辑组别
belong_group,所在組別,Group,그룹 지정,所属グループ,所在组别
join_date,加入日期,Join Date,가입일자,参加日,加入日期
last_trade_date,最後交易日,Last Trading Day,최신거래일자,最後の引取日,最后交易日
connect_info,聯絡資訊,Info,연락처 정보,連絡先,联络资讯
rebate_trade_value,返佣交易量,Rebate Trading Volume,거래량 리베이트,リベートを取引できる数量,返佣交易量
view_information,檢視資訊,Veiw,정보 검증,情報を検視する,检视资讯
empty_data,暫無數據,No Result,데이터 없음,該当のデータがありません,暂无数据
edit_recommender_group,編輯推薦人組別,Edit Referral Group,레퍼럴 그룹 편집,紹介者組を編集する,编辑推荐人组别
select_group,選擇組別,Select Group,그룹 선택,グループを選択する,选择组别
please_select_current_group,請選擇現有組別,Please Select Group,기존 그룹을 선택하세요,あるグループを選択してください,请选择现有组别
build_group,建立新組別,Add New Group,새 그룹 만들기,新しいグループを作成します,建立新组别
enter_group_name,輸入新組別名稱,Edit name,새 그룹명 입력,新しいグループネームを入力してください,输入新组别名称
select_color,選擇顏色,Color,색상 선택,色を選ぶ,选择颜色
manage_recommender_group,管理推薦人組別,Manage,레퍼럴 그룹 관리,紹介者組を管理する,管理推荐人组别
please_enter_group_name,請輸入群組名稱,Edit name,그룹명을 입력하세요,グループネームを入力してください,请输入群组名称
cancel_all,全部取消,Cancel,전체취소,全部取り消し,全部取消
save_all,全部儲存,Save,저장하기,全部保存,全部储存
bind_group_success,綁定群組成功,Group set successfully,그룹연동하기,グループのバインディングが完了,绑定群组成功
save_success,保存成功,Save Successful,저장성공,保存が完了,保存成功
change_address_takes_one_week_1,"地址填寫錯誤，造成損失將由客戶自行負責,為保障用戶權益和出金安全","If the address is incorrectly filled in, the loss will be the responsibility of the customer. In order to protect the rights of users and the security of withdrawals",주소를 틀리게 기재한 경우 분실의 책임은 고객에게 있습니다 .사용자 권익보장과 출금안전을 위하여 출금주소 수정은 이메일을 통해 확인이 가능합니다.,住所に誤りがあった場合の紛失はお客様のご負担となります .ユーザー権利と出金安全のため出金アドレスを修正する場合はメールを検証して,"地址填写错误，造成损失将由客户自行负责,为保障用户权益和出金安全"
change_address_takes_one_week_2,修正出金地址須透過email驗證，變動地址需待一周後再次進行,"the correction of the withdrawal address must be verified by email, and the change of the address needs to be carried out again after a week",주소변경은 일주일 후에 변경이 가능합니다.,アドレス変更はまた一週間後に行ってください,修正出金地址须透过email验证，变动地址需待一周后再次进行
coin_adress,請填入 {coin} 交易地址,Enter {coin} address,{coin}출금주소를 입력하세요.,{coin} 取引先のアドレスを入力してください,请填入 {coin} 交易地址
coin_adress2,請填入 {coinAdress2},Enter {coinAdress2},{coinAdress2}를 입력하세요.,{coinAdress2}を入力してください,请填入 {coinAdress2}
edit_adress,編輯地址,Edit Address,주소편집,アドレスを編集,编辑地址
save_and_verify,儲存並驗證,Save and verify,저장하고 검증완료,保存して検証する,储存并验证
goto_fdb_email_verify,請至FunDoBit會員郵箱驗證,Please verify by email,이메일 인증하기,Fundobit会員メールアドレスに戻って検証してください,请至FunDoBit会员邮箱验证
enter_verification_code_in_ten,請於10分鐘內輸入驗證碼，未如驗證將無法更新此次提交,Please enter the verification code within 10 minutes.,인증번호를 입력해주세요. 입력하지 않을 경우 업데이트가 되지 않습니다.,10分内で検証コードを入力してください。入力しなければ提出ができません,请于10分钟内输入验证码，未如验证将无法更新此次提交
verification_code,驗證碼,Verification code,인증번호,検証コード,验证码
enter_verification_code,輸入驗證碼,Please enter the verify code,인증번호 입력,検証コードを入力してください,输入验证码
check,確認,Confirm,확인,確認,确认
btc_verify,BTC : 數字1＆3 開頭，26至37位區間英文大小寫+數字組成,Please enter the correct Bitcoin address,"BTC : 숫자 1 ~ 3 사이, 영문 대소문자 + 숫자로 구성합니다",BTC:数字1または3から始まる、2６以上37以内で半角英大文字半角英小文字+数字の組み合わせ,BTC : 数字1＆3 开头，26至37位区间英文大小写+数字组成
xrp_verify,XRP : r開頭,Please enter the correct Ripple address,XRP : r시작,XRP:rから始める,XRP : r开头
usdt_verify,USDT : 數字1＆3 & 0 開頭,Please enter the correct USDT address,USDT : 숫자 1&3&0 시작,USDT:数字1.3.0から始まる,USDT : 数字1＆3 & 0 开头
eth_verify,ETH : 數字0 開頭，42位英文大小寫+數字組成,Please enter the correct Ether address,"ETH 숫자 0 시작, 42자리 영문 대소문자 + 숫자 구성",ETH:数字0から始まる、42文字の半角英大文字半角英小文字+数字の組み合わせ,ETH : 数字0 开头，42位英文大小写+数字组成
bind_success,綁定成功,Connect Successful,바인딩 성공,バインディング完了,绑定成功
friend_invitation_code,您的好友邀請碼,Referral Code,레퍼럴 코드,友達の招待コード,您的好友邀请码
return_amount_rebates,返回返佣數量總覽,Return to Dashboard,수수료 리베이트,リベート数の一覧へ戻る,返回返佣数量总览
exchange_management,交易所管理,Exchange Management,거래소 관리,取引所を管理する,交易所管理
withdrawal_address_management,出金地址管理,Address Management,출금주소 관리,出金メールアドレスを管理する,出金地址管理
referrer_management,推薦人管理,Refferral Management,레퍼럴 관리,紹介者を管理する,推荐人管理
edit_profile,編輯個人檔案,Edit Profile,파일 편집,プロファイルを編集する,编辑个人档案
invite_code_copy,邀請碼複製成功,Copy successfully,레퍼럴 코드 복사하기,招待コードをコピーした,邀请码複制成功
invite_connect_copy,邀請連結複製成功,Copy successfully,레퍼럴 코드 복사성공,招待リングをコピーした,邀请连结複制成功
build_account,創建帳戶,Register,계정 생성,ユーザーの作成,创建帐户
invite_code,邀請碼,Referral Code,레퍼럴 코드,招待コード,邀请码
enter_recommender_invite,輸入推薦人邀請碼,Enter Referral Code,레퍼럴 코드 입력,紹介者の招待コードを入力してください,输入推荐人邀请码
has_account,已經有帳號？請 {0},Already have an account? Please {0},이미 계정이 있습니까? {0} 해 주십시오.,あなたはすでにメンバーですか？{0},已经有帐号？请 {0}
mail_verification_notice,信箱驗證通知,Email verification notice,이메일 인증을 확인하세요,メールアドレス検証のお知らせ,信箱验证通知
verification_email,提醒您：驗證電子郵件，開始返佣,Verify email and start rebate,알림 : 이메일 인증이 되어야만 수수료 반환이 가능합니다.,リマインド：メールアドレスを検証してリベート開始,提醒您：验证电子邮件，开始返佣
please_enter_correct_email,電子郵件：請輸入正確電子郵件,Email: Please enter the correct email,이메일 : 올바른 이메일 주소를 입력하세요,メールアドレス：正しいメールアドレスを入力してください,电子邮件：请输入正确电子邮件
password_en_number,密碼：請輸入6位數以上英數字,Password: Please enter more than 6 digits alphanumeric,"비밀번호 : 영문, 숫자를 포함한 6자리 이상 숫자 입력",パスワード : ６文字以上半角英数字を入力してください,密码：请输入6位数以上英数字
invite_code_validate,邀請碼：8位數，含英數字，不含特殊符號,Referral Code,레퍼럴 번호 : 8자리 숫자로만 기입,招待コード：記号を含まない８文字以上半角英数字,邀请码：8位数，含英数字，不含特殊符号
privacy_conditions_need_checked,隱私條件需勾選，才可以點擊註冊,Accept,개인정보보호는 체크표시를 해야지만 등록이 가능합니다.,プライバシー条件を同意してから、申し込みをクリック,隐私条件需勾选，才可以点击注册
reset_password,重置您的密碼,Reset Password,비밀번호 초기화,パスワード再設定,重置您的密码
enter_email_to_set_password,請輸入註冊時電子郵件，進行密碼重置,"Enter Email , Reset New Password",가입 시 입력했던 이메일 주소를 입력하여 비밀번호 재설정을 진행합니다.,登録したメールアドレスをご入力してパスワードの再設定を行います,请输入注册时电子邮件，进行密码重置
send_password_link,發送密碼重置連結,Send password reset link,암호 초기화,パスワード再設定のURLを発送します,发送密码重置连结
return_login_page,回到登入畫面,Back to menu,로그인 화면으로 되돌아가기,登録画面に戻る,回到登入画面
email_notify,電子郵箱通知,Email notification,이메일로 발송됩니다.,メールアドレスのお知らせ,电子邮箱通知
receiving_linked_letters,請去電子郵箱收取連結信件,Check Email with link,이메일 수신함을 확인하세요.,メールアドレスにURLを受信してください,请去电子邮箱收取连结信件
member_withdraw_application,會員出金申請,Withdraw,회원 출금신청,会員出金の申請,会员出金申请
fill_withdrawal_account_information,填寫出金帳戶資訊,Withdraw Information,출금주소 입력,出金口座情報を入力してください,填写出金帐户资讯
no_tradable_currency,尚無可交易之幣種,There is no tradable currency,거래가 불가능한,取引可能な通貨はありません,尚无可交易之币种
go_to_withdrawal_application_address,請至出金申請地址進行設定,Please go to the withdrawal application address to set,입니다. 출금 신청주소를 설정합니다.,出金申請アドレスへ設定してください,请至出金申请地址进行设定
reconfirm_withdrawal_information_amount,再次確認出金資訊與金額,Reconfirm the withdrawal information and amount,출금관리,出金情報と金額再確認,再次确认出金资讯与金额
operation_success,操作成功,Successful,처리완료,操作成功,操作成功
select_withdraw_coin_type,選擇出金幣別,Type,종목 선택,出金通貨を選ぶ,选择出金币别
handling_fee,手續費,Gas Fee,수수료,手数料,手续费
not_yet_selected,尚未選擇,Please select withdrawal of the currency type,완료되지 않은 항목,未選択,尚未选择
withdraw_adress,出金地址,Address,출금주소,出金アドレス,出金地址
amount_can_be_withdrawn,可出金數量,Available,출금수량,出金可能数,可出金数量
min_withdraw,最低出金限制,Minimum Limit,최저출금제한,最低出金制限,最低出金限制
please_enter_withdrawal_amount,請輸入出金金額,Amount,출금금액을 입력합니다,出金金額を入力してください,请输入出金金额
cancel_withdraw,取消出金,Cancel,출금취소,出金をキャンセル,取消出金
next_step,下一步,Next,다음,次へ,下一步
actual_quantity,實拿數量,Amount,실제수량,実際数,实拿数量
submit_withdrawal_application,注意：親愛的會員您好，請再次確認您的交易地址是否正確，若無誤將進行出金申請提交,"Note: Hello, dear members, please confirm whether your transaction address is correct, and if it is correct, the withdrawal application will be submitted","힌트: 친애하는 회원 거래 주소가 정확한지 확인하시고, 주소가 맞으면 출금 신청서가 접수됩니다.",注意：会員様へ取引先のアドレスが正しいかどうかを再確認して、間違いがなければ出金申請を提出されます,注意：亲爱的会员您好，请再次确认您的交易地址是否正确，若无误将进行出金申请提交
previous,上一步,Previous,이전페이지,戻る,上一步
submit_application,提出申請,Apply,승인 신청하기,申請を提出,提出申请
expected_complete_withdrawal,預計48 小時內完成出金,It is estimated that the withdrawal will be completed within 48 hours.,출금은 48시간 정도 소요됩니다.,４８時間内出金完了予定,预计48 小时内完成出金
if_any_problem,若有任何問題請聯繫FunDoBit客服中心,"If you have any questions, please contact Fundobit Customer Service Center",관련된 문제가 발생할 경우 고객센터로 문의바랍니다.,ご不明な点がございましたら、Fundobit カスタマーサービスセンターまでお問い合わせください,若有任何问题请联繫FunDoBit客服中心
back_to_list,回到列表,Menu,목록으로 되돌아가기,リストへ戻る,回到列表
application_again,再申請一筆,Next Apply,다시 신청하기,再申請,再申请一笔
withdraw_coin_type,出金幣別,Type Of Currency,출금 종목,出金通貨,出金币别
enter_withdraw_coin_type,請輸入出金幣別,Please enter withdraw type of currency,출금 종목을 입력하세요,ご出金通貨を入力してください,请输入出金币别
enter_withdraw_amount,請輸入出金數量,Please enter withdraw amount,수량 입력하기,ご出金数を入力してください,请输入出金数量
exceeds_amount_withdrawn,超過可出金數量,Exceeds the amount of currency that can be withdrawn,출금 수량 초과,ご出金できる数を超え,超过可出金数量
less_min_withdraw,低於 {selectedCoinName} 最低出金數量 {coinminiAmount},Less than {selectedCoinName} minimum withdrawal amount {coinminiAmount},{selectedCoinName}최소출금수량 {coinminiAmount},より下 {selectedCoinName} 最低出金数 {coinminiAmount},低于 {selectedCoinName} 最低出金数量 {coinminiAmount}
application_success,申請成功,Apply Successful,신청완료,申請完了,申请成功
enter_number_slot,請輸入{number}位數以上英數字,Please enter more than {number} digits alphanumeric,{number}자리 이상의 영문 및 숫자를 입력하세요,{number}文字以上半角英数字を入力してください,请输入{number}位数以上英数字
enter_en_number,輸入{number}位數以上，含英數字,"Enter more than {number} digits, including alphanumerics",영문과 숫자를 포함하여 {number}자리 이상이여야 합니다,{number}文字以上半角英数字を入力してください,输入{number}位数以上，含英数字
please_enter_user_name,請輸入使用者名稱,Please enter username,사용자명 입력,ユーザー名を入力してください,请输入使用者名称
cancelled,已取消,Cancelled,취소됨,キャンセルが完了,已取消
not_yet_selected_unbound,尚未選擇或未綁定,Enter withdraw address,이미 계정생성이 완료되었습니다.,まだ選択されていない、またはバインディングされていません,尚未选择或未绑定
please_check_your_email_receive,請至信箱收取認證信件或重新發送認證信，如仍有異常請聯繫客服團隊,"Please check your email to receive the certification letter or resend the certification letter. If there is still an abnormality, please contact the customer service team",우편함으로 인증메일을 확인하시고 문제가 있을 경우 고객지원팀으로 연락 주시기 바랍니다.,メールアドレスで確認コードを受信または確認コードを再発送する。もし何が異常かあるなら、サービスセンターにご聯絡ください,请至信箱收取认证信件或重新发送认证信，如仍有异常请联系客服团队
coopertion_bis,合作幣商,Industry Partners,파트너쉽 명단,コインディーラーとの提携,合作币商
billion_2,90.35 億,9 Billion,90.35 억,90.35 億,90.35 亿
i_have_read_and_agree,我已閱讀並同意FDB的 {service} 與 {privacy_policy},I have read and agree to FDB's {service} and {privacy_policy},나는 이미 FDB의 {service} 와 {privacy_policy} 을 읽고 동의했습니다.,FDB の {service} 及び {privacy_policy} に同意します,我已阅读并同意FDB的 {service} 与 {privacy_policy}
service,服務,Service,서비스,利用規約,服务
register_link,註冊連結,Registration,등록 링크,登録リンク,注册连结
enter_number_range,請輸入{0}-{1}數字,Please enter {0}-{1} numbers,{0}-{1}자리 숫자를 입력하세요,{0}-{1}の数字を入力してください,请输入{0}-{1}数字
exchange_platform,交易平台,Trading platform,거래 플랫폼,取引プラットフォーム,交易平台
live_learning,直播教學,"Live / learning ",원격 학습,遠隔学習,直播教学
info_center,消息中心,Message center,메시지 센터,メッセージセンター,消息中心
help_center,幫助中心,Help center,지원 센터,ヘルプセンター,帮助中心
dark_color,深色,Dark,어두운,暗い,深色
light_color,淺色,Light,밝은 색,明色,浅色
recommended_article,推薦文章,Recommend articles,추천 기사,おすすめ記事,推荐文章
hot_articles,熱門文章,Popular articles,인기 기사,人気記事,热门文章
beginner_guide,新手指引,Beginner's Guide,초보자 가이드,初心者ガイド,新手指引
